title,url,summary,published,sentiment_label,sentiment_score
What is the actual cash value of my car? Here’s what to know.,https://finance.yahoo.com/personal-finance/insurance/article/actual-cash-value-of-my-car-204252991.html,,2024-07-29T20:42:52Z,neutre,0.0
Citizens Bank mortgage review 2025,https://finance.yahoo.com/personal-finance/mortgages/review/citizens-bank-mortgage-review-165928630.html,,2024-11-18T16:59:28Z,neutre,0.0
Historical mortgage rates: How do they compare to current rates?,https://finance.yahoo.com/personal-finance/mortgages/article/historical-mortgage-rates-164750874.html,,2025-04-15T16:47:50Z,neutre,0.0
AmeriSave Mortgage review 2025,https://finance.yahoo.com/personal-finance/mortgages/review/amerisave-mortgage-review-172857739.html,,2024-05-15T17:28:57Z,neutre,0.0
Texas judge throws out rule that would have capped credit card late fees,https://finance.yahoo.com/news/texas-judge-throws-rule-capped-222556020.html,,2025-04-15T22:25:56Z,négatif,-0.3
Why PepsiCo Stock Tanked Today,https://finance.yahoo.com/news/why-pepsico-stock-tanked-today-222850935.html,,2025-04-15T22:28:50Z,neutre,0.0
"BOJ's Ueda says central bank may need to respond if US tariffs hurt economy, Sankei reports",https://finance.yahoo.com/news/bojs-ueda-says-central-bank-222857632.html,,2025-04-15T22:28:57Z,neutre,0.0
TD Asset Management's New All-Equity ETF Now Trading on TSX,https://finance.yahoo.com/news/td-asset-managements-equity-etf-223000942.html,,2025-04-15T22:30:00Z,positif,0.136
"Rio Tinto posts lowest Q1 iron ore shipments since 2019, tempers forecast",https://finance.yahoo.com/news/rio-tintos-first-quarter-iron-223319325.html,,2025-04-15T22:33:19Z,neutre,0.0
Nvidia Records $5.5 Billion Charge on New H20 Export Restrictions,https://www.wsj.com/livecoverage/stock-market-trump-tariffs-trade-war-04-15-25/card/nvidia-records-5-5-billion-charge-on-new-h20-export-restrictions-LXjxlqr2m80QIrfJxnYZ?siteid=yhoof2&yptr=yahoo,,2025-04-15T22:33:59Z,positif,0.136
